Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
MPHIN32233,BALMIK JAGRAN,,31280.0,31280/ 77,B.L. KADAM,MP,GWALIOR,W
MPHIN36680,PRADESH JAGRAN,प्रदेश जागरण,153071.0,MPHIN/2021/80516,ATAL SHARMA,MP,GWALIOR,W
MPBIL02575,AATM JAGRAN,आत्म जागरण,157865.0,MPBIL/2022/85310,DR. ABHISHEK PRATAP SINGH,MP,GWALIOR,W
MPHIN20962,DAINIK JAGRAN,दैनिक जागरण,91775.0,MPHIN/2006/19218,JAGRAN PRAKASHAN LTD,MP,INDORE,D
MPHIN17090,KHATIK JAGRAN,,81309.0,MPHIN/2002/08752,PRAKASH SONKAR,MP,INDORE,M
MPHIN19798,GOSWAMI JAGRAN,गोस्वामी जागरण,93562.0,MPHIN/2005/21005,RAJENDER KUMAR BHARTI,MP,INDORE,M
MPHIN10818,PAL JAGRAN,,61771.0,61771/ 94,BHAGVAN DAS PAL,MP,INDORE,M
MPMAR00015,LOK JAGRAN,,38476.0,38476/ 83,RAM RAO DESHMUKH,MP,INDORE,W
MPHIN28066,PRAKHAR VAISHYA - PRAKHAR RASHTRA VAISHYA JAGRAN,,121752.0,MPHIN/2012/49197,RAKESH GUPTA,MP,JABALPUR,M
MPHIN07422,JABALPUR JAGRAN,,13023.0,13023/ 66,NARESH KUMAR BAJPAI,MP,JABALPUR,W
MPHIN39082,RASHTRIYA JAN JAGRAN,,,,ABHINAV BHADRETYA,MP,RAISEN,D
MPHIN14806,RASTRA JAGRAN,,22183.0,22183/ 70,RAM NARAYAN SHASTRI,MP,RATLAM,M
MPHIN01465,DAINIK JAGRAN,दैनिक जागरण,1505.0,1505/ 57,GYAN SWAROOP GUPTA,MP,REWA,D
MPBIL02552,VIDHHYA JAGRAN,,,,GYANENDRA KUMAR AGNIHOTRI,MP,REWA,DF
MPHIN11647,ANCHALIK JAGRAN,,66491.0,66491/ 95,SHYAM CHATURVEDI,MP,VIDISHA,OP
MPHIN35196,SHRUTLEKH JAGRAN,श्रुतलेख जागरण,150200.0,MPHIN/2019/77645,RANJEET SONI,MP,VIDISHA,W
MPHIN33793,VIDISHA JAGRAN,विदिशा जागरण,145172.0,MPHIN/2017/72617,ARUN SHRIVASTAVA,MP,VIDISHA,W
ODIODI03795,SANSKRUTHIKA JAGRAN,,66412.0,66412/ 96,HINDU JAGARANA SAMUKHYA,ODI,CUTTACK,F
PUNHIN01501,DAINIK JAGRAN,दैनिक जागरण,92661.0,PUNHIN/2006/20104,JAGRAN PRAKASHAN LTD,PUN,AMARITSAR,D
PUNHIN01568,DAINIK JAGRAN,दैनिक जागरण,100881.0,PUNHIN/2008/28324,JAGRAN PRAKASHAN LTD,PUN,BATHINDA,D
PUNPUN04291,AAGAJ JAGRAN,,,,SUKHWINDER KAUR,PUN,FATEHGARH SAHIB,OP
PUNMUL00717,ADHYAPAK JAGRAN,,10172.0,10172/ 65,GOPAL KRISHAN CHATRA,PUN,GURDASPUR,F
PUNHIN01349,DAINIK JAGRAN,,72778.0,PUNHIN/1999/00221,JAGRAN PRAKASHAN LTD,PUN,JALANDHAR,D
PUNPUN03799,PUNJABI JAGRAN,,113173.0,PUNPUN/2011/40616,JAGRAN PRAKASHAN LTD,PUN,JALANDHAR,D
PUNPUN03786,JAN JAGRAN,,117104.0,PUNPUN/2011/44547,RAVI BHARDWAJ,PUN,JALANDHAR,D
PUNHIN01500,DAINIK JAGRAN,दैनिक जागरण,92646.0,PUNHIN/2006/20089,JAGRAN PRAKASHAN LTD,PUN,LUDHIANA,D
PUNPUN04002,YOUTH JAGRAN,यूथ जागरण,134580.0,PUNPUN/2015/62025,SURJIT KHARBANDA,PUN,LUDHIANA,M
