Title-Code,Title Name,Owner Name,State,Publication City/District
BIHHIN04264,VIKRAMSHILA TIMES,NARAYAN PRASAD T.,BIH,BHAGALPUR
BIHHIN00165,ANG TIMES,RAYAZAT ALI HAIDER,BIH,BHAGALPUR
BIHHIN03764,ARVAN TIMES,SURYA PRAKASH LAL,BIH,BHAGALPUR
BIHHIN00257,BABA TIMES,SHIVAJI PATHAK,BIH,BHOJPUR
BIHURD00691,MALTI TIMES,RAGHUBAR LAL DAS,BIH,DARBHANGA
BIHURD00850,DARBHANGA TIMES,MANSOOR KHUSHTER,BIH,DARBHANGA
BIHHIN04893,TIMES OF MITHILANCHAL,SANJAY BISWAS,BIH,DARBHANGA
BIHMAI00053,VIDYAPATI TIMES,VINOD KUMAR,BIH,DARBHANGA
BIHHIN02702,UGNA TIMES,LALIT KUMAR SUMAN,BIH,DARBHANGA
BIHHIN03138,SUBODH TIMES,,BIH,GAYA
BIHHIN01366,LAXMAN TIMES,,BIH,GAYA
BIHHIN03922,VISHWA VIPLAV TIMES,ADITYA KUMAR,BIH,KATIHAR
BIHHIN01204,KATIHAR TIMES,BASUDEO PRASAD,BIH,KATIHAR
BIHHIN11693,FARKIYA TIMES,DINESH KUMER DEO,BIH,KHAGARIA
BIHHIN04923,SURJAPUR TIMES,TARACHAND DHANUKA,BIH,KISHANGANJ
BIHHIN04289,LAKHISARAI TIMES,LAXMI PRASAD SINGH,BIH,LAKHISARAI
BIHHIN04177,MONGHYR TIMES,JAGDISH KUMAR,BIH,MUNGER
BIHHIN04176,MONGHYR TIMES,JAGDISH KUMAR DEEPAK,BIH,MUNGER
BIHBIH00007,DOLI TIMES,RAMA SHANKAR CHAUDHARY,BIH,MUZAFARPUR
BIHHIN02651,TIRHUT TIMES,CHANDER MOHAN SAHEY,BIH,MUZAFFARPUR
BIHHIN11759,YODHA TIMES,ARUNKUMAR,BIH,MUZAFFARPUR
BIHHIN01601,MONA TIMES,SURINDER PRASAD,BIH,MUZAFFARPUR
BIHHIN00907,HAJIPUR TIMES,JEETU PASWAN,BIH,MUZAFFARPUR
BIHHIN11744,ANIWESH TIMES,ANIWESH KUMAR,BIH,MUZAFFARPUR
BIHURD00718,HAKIKAT TIMES,SYED NAIYAR ALI WARSI,BIH,MUZAFFARPUR
BIHBIL00211,AL-HIND TIMES,M JAVED HASAN,BIH,MUZAFFARPUR
BIHHIN05061,CHARAIVETI TIMES,ANJANA DEVI,BIH,MUZAFFARPUR
BIHHIN02946,MONA TIMES,,BIH,MUZAFFARPUR
BIHHIN02366,SANDEEP TIMES,NAND KISHORE SRIVASTAVA,BIH,MUZAFFARPUR
BIHHIN03653,YASHODA TIMES,AJAY KUMAR,BIH,MUZAFFARPUR
BIHHIN00131,AMBER TIMES,PARAS NATH PRASAD,BIH,MUZAFFARPUR
BIHHIN03884,GLOBAL TENDER TIMES,M.J.HASAN,BIH,MUZAFFARPUR
BIHHIN04132,HIMASIA TIMES,JYOTI NARAYAN BHARATI,BIH,MUZAFFARPUR
BIHHIN11758,ABHIKA TIMES,NOT GIVEN,BIH,MUZAFFARPUR
BIHHIN04121,GOPI TIMES,RAM LAL AGARWAL,BIH,MUZZAFARPUR
BIHHIN00592,CHITRA GUPTA TIMES,BIKAU MAHTO,BIH,MUZZAFFARPUR
BIHHIN04171,MEHTA TIMES,TRIBHUWAN MEHTA,BIH,MUZZAFFARPUR
BIHURD00833,AL WATAN TIMES,MOHAMMAD IQBAL SABA,BIH,NALANDA
BIHHIN01893,PAVAPURI TIMES,BHOLA PRASAD PAHARI.,BIH,NALANDA
BIHURD00744,SAFA TIMES,HABIBUR REHMAN,BIH,PASCHIM CHAMPARAN
