Title-Code,Title Name,Owner Name,State,Publication City/District
UPHIN44698,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,ALIGARH
UPHIN05173,JYOTI JAGRAN,KANTI SWARUP BANDHU,UP,ALIGARH
UPHIN02761,JAGRAN,JAI CHANDRA ARYA,UP,ALLAHABAD
UPHIN44699,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,ALLAHABAD
UPHIN51347,DEEPOTSAV JAGRAN,DHARMPAL SINGH,UP,AYODHYA
UPHIN49261,ABHYUDAYA JAGRAN,VIVEK SHUKLA,UP,BAHARAICH
UPHIN50112,SWADEEP JAGRAN,DEEPAK KUMAR TIWARI,UP,BALLIA
UPHIN47144,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,BANDA
UPHIN49536,ARYAVART JAGRAN,LAVKUSH SHARAN,UP,BARABANKI
UPHIN33367,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,BAREILLY
UPBIL05192,NAVSWAR JAGRAN,DEVENDRA KUMAR SHARMA,UP,BAREILLY
UPHIN42918,LAKSHYA JAGRAN,SATYAVEER PRAJAPATI,UP,BAREILLY
UPHIN20546,JANTA JAGRAN SHAKTI,MOHAN KUMAR KHANDELWAL,UP,BAREILLY
UPHIN41953,JAN SHAKTI JAGRAN,BHRIGUNATH TRIPATHI,UP,BASTI
UPHIN06410,LODHI JAGRAN,LODHI RAJPOOT ZILA SAMAJ,UP,ETAH
UPHIN33973,KRANTI JAGRAN,"RAJIV SHARMA""RAJ""",UP,ETAH
UPHIN49748,KUTUMB JAGRAN,GEETA PANDEY,UP,FAIZABAD
UPHIN20079,JAN JAGRAN TIMES,VEENA BAGHEL,UP,GAZIABAD
UPHIN27349,SWATANTRA JAGRAN,DURGA PRASAD,UP,GORAKHPUR
UPHIN26566,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,GORAKHPUR
UPHIN04961,JALAUN JAGRAN,VINOD KUMAR MISHRA,UP,JALAUN
UPHIN49761,MORNING JAGRAN SAMACHAR,JAYRAM,UP,JALAUN/ ORAI
UPHIN14758,SURYA JAGRAN,SURENDRA KUMAR AGARWAL,UP,JALAUN/ ORAI
UPHIN05010,JAUNPUR JAGRAN,OM PRAKASH SINGH,UP,JAUNPUR
UPHIN13783,DAINIK JAGRAN,DAILY JAGRAN L.L.P.,UP,JHANSI
UPHIN42727,JAN JAN JAGRAN,NISHTHAWAN ADVERTISERS AND MEDIA PVT.LTD,UP,JHANSI
UPHIN20717,JAGTA RAHEGA JAGRAN,CHANDRASEKHAR PANDAY,UP,JHANSI
UPHIN13545,DAINIK JAGRAN,JAGRAN PRAKASHAN LTD,UP,KANPUR
UPHIN05847,KHAS JAGRAN,B. P. MISHRA,UP,KANPUR
UPHIN46248,MANOHAR JAGRAN,LAKHAN LAL PANDEY,UP,KANPUR DEHAT
UPENG04360,JAGRAN JOURNAL OF MANAGEMENT AND TECHNOLOGY,JAGRAN INSTITUTE OF MANAGEMENT,UP,KANPUR NAGAR
UPBIL03521,JAGRAN JOSH,JAGRAN PRAKASHAN LTD,UP,KANPUR NAGAR
UPHIN35734,JAGRAN KHET KHALIHAN,JAGRAN PRAKASHAN LTD,UP,KANPUR NAGAR
